Raf,Mek,PLCg,PIP2,PIP3,Erk,Akt,PKA,PKC,p38,JNK
-1.3480972554572608,-1.3782538986317658,-0.22406862586960494,0.7827517414176198,-0.454754330393983,-1.00051777063213,-1.0978963565484228,-0.8199495284286814,-2.439681698494891,-1.0913011499299423,-0.75381983773082
-1.6509061974989432,-0.5737788440972343,-1.992326756922786,-0.6732905578527869,-1.9380536853760815,-0.9066116106546246,-2.381258646373243,-1.5802895392335365,-1.4868867326952433,-0.4359187510953672,-1.3365032867586948
-0.21089190548597742,0.0646539174855171,-0.9583029936714416,0.07037871525838246,-1.0587345599051992,-0.3879902103004948,-0.9037464875728535,-2.4201333938402856,-1.5378526483473371,-0.8769649656571858,-1.0807577695441284
-0.345395578071347,-0.5146404528911415,-1.1173556310422421,0.12586165491292584,-0.7433024997039533,-0.639036060265018,-1.3026048614383177,-0.8652897405173517,-1.4842859306792726,-1.1634092321368052,-0.6099559998641984
-0.8758292449309988,-0.1295841661581493,-0.267825323157938,-0.2913131087165206,-1.1124277948296577,-0.7229481820619759,-0.57126317407202,-2.054603576001446,-1.6498416821758135,-1.489514582240748,-1.5019035551307678
-0.904037060134798,-2.0205296442331973,-1.3052573809373331,-0.5787340967372877,-0.6075819545786669,-1.666106181944078,-1.2944794330773417,-0.1143893416175073,-1.8259335066580469,-0.9709766285899571,-1.9662687849080334
-1.1451004193800283,-1.0873032429786684,-0.21851961580304963,0.560552352372102,-1.5164394852559373,-2.075944256867776,-1.2473771408493226,-0.8515977119393686,-1.6879202333013656,-2.034995364723846,-0.8465601320721207
-0.5214184706001734,-0.9942038750401114,-1.6056209171037756,-1.137749408192863,-1.2880567717285738,-1.2107129598963016,-2.0185125201131284,-0.8919622125359499,-1.0228910322796727,-1.1378238275648453,-0.6868228035237323
-0.7554411277859502,-0.4951672412480283,0.09946004128337035,0.6534734964719316,-0.20248196740928448,-1.6331332587305099,-0.39404080261985874,-0.6621929979526316,-0.8722262953057692,-0.7311248751264268,-1.7717442508803942
-1.8789723278757817,-1.1860734895231377,-1.1261948654564455,-0.2414568324898172,-1.317932757101029,-2.205104392547613,-1.248681042289801,-1.8412004059781943,-1.7827549127677225,-1.6862656061222685,-1.2467025640177418
